Date,1Y Swap,2Y Swap,3Y Swap,4Y Swap,5Y Swap,7Y Swap,10Y Swap,30Y Swap
11/17/1998,5.04,5.07,5.145,5.24,5.3,5.44,5.61,5.96
11/18/1998,5.03,5.04,5.13,5.215,5.27,5.43,5.59,5.895
11/19/1998,5.01,5.105,5.185,5.25,5.3,5.44,5.575,5.87
11/20/1998,5.08,5.115,5.185,5.24,5.29,5.395,5.55,5.84
11/23/1998,5.08,5.19,5.23,5.275,5.34,5.45,5.605,5.885
11/24/1998,5.1,5.195,5.25,5.285,5.33,5.455,5.58,5.83
11/25/1998,5.1,5.205,5.265,5.305,5.35,5.48,5.595,5.83
11/26/1998,5.12,5.2,5.26,5.3,5.35,5.45,5.59,5.83
11/27/1998,5.1,5.17,5.235,5.275,5.315,5.45,5.58,5.795
11/30/1998,5.05,5.07,5.16,5.215,5.255,5.36,5.53,5.73
12/1/1998,5.01,5.05,5.11,5.17,5.21,5.32,5.49,5.71
12/2/1998,5.005,5,5.05,5.11,5.165,5.315,5.46,5.72
12/3/1998,4.94,4.91,4.955,5.02,5.1,5.24,5.395,5.7
12/4/1998,4.89,5.035,5.1,5.165,5.21,5.32,5.48,5.745
12/7/1998,4.995,5.095,5.16,5.205,5.255,5.385,5.495,5.74
12/8/1998,5.015,5.025,5.085,5.15,5.19,5.31,5.43,5.7
12/9/1998,4.975,5.02,5.08,5.135,5.175,5.29,5.42,5.7
12/10/1998,4.915,4.97,5.02,5.08,5.115,5.19,5.33,5.655
12/11/1998,4.92,5.025,5.09,5.15,5.205,5.34,5.455,5.73
12/14/1998,4.94,4.975,5.05,5.1,5.155,5.295,5.42,5.76
12/15/1998,4.925,5.02,5.09,5.15,5.21,5.32,5.46,5.735
12/16/1998,4.825,4.92,5,5.06,5.12,5.265,5.4,5.71
12/17/1998,4.86,5.01,5.075,5.15,5.19,5.315,5.43,5.73
12/18/1998,4.95,5.01,5.09,5.14,5.19,5.29,5.42,5.72
12/21/1998,4.975,5.08,5.15,5.21,5.26,5.35,5.49,5.77
12/22/1998,5.04,5.11,5.18,5.26,5.31,5.42,5.54,5.85
12/23/1998,4.87,5.24,5.31,5.35,5.41,5.5,5.62,5.87
12/24/1998,5.18,5.26,5.35,5.4,5.44,5.53,5.63,5.88
12/25/1998,5.15,5.265,5.335,5.4,5.44,5.54,5.64,5.9
12/28/1998,5.17,5.21,5.28,5.33,5.38,5.45,5.56,5.83
12/29/1998,5.15,5.16,5.23,5.27,5.31,5.39,5.5,5.79
12/30/1998,5.11,5.12,5.18,5.22,5.28,5.37,5.46,5.76
12/31/1998,4.78,5.11,5.18,5.23,5.28,5.35,5.45,5.76
1/1/1999,4.78,5.13,5.18,5.23,5.28,5.36,5.45,5.76
1/4/1999,5.1,5.1,5.14,5.2,5.26,5.32,5.43,5.78
1/5/1999,5.045,5.16,5.18,5.24,5.31,5.39,5.45,5.79
1/6/1999,5.105,5.1,5.16,5.21,5.26,5.35,5.47,5.79
1/7/1999,5.06,5.16,5.22,5.28,5.32,5.41,5.53,5.84
1/8/1999,5.06,5.25,5.33,5.38,5.42,5.52,5.64,5.93
1/11/1999,5.18,5.31,5.38,5.42,5.47,5.57,5.7,5.98
