,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,1752754D,1897359D,202550Q,2284Q,291784Q,3022239Q,3133754Q,3153670Q,3393199Q,3403545Q,3517233Q,5656565D,9876566D,AES,ALL,AMT,ANTM,APC,APOL,APH,AVB,AZO,BA,BAC,BBY,BBY,BF/B
62,1789494D,1958Q,2036Q,228510Q,2942331Q,3026360Q,3153670Q,3286728Q,3403545Q,3414924Q,3605818Q,8206908Q,9990302D,AET,AMAT,AMZN,AON,APD,APTV,APTV,AVGO,BA,BAC,BAX,BDX,BDX,BIIB
63,1789530D,1974Q,204923Q,2288005Q,2953349Q,3029830Q,3277Q,3393199Q,3414924Q,3423152Q,3692470Q,8277831Q,9995522D,AFL,AMD,AN,APC,APH,ARG,ARG,AVP,BAC,BAX,BBWI,BEN,BEN,BIO
64,1799685D,202550Q,2106Q,231079Q,2968900Q,304024Q,3286728Q,3403545Q,3423152Q,3517233Q,4621824Q,8394653Q,A,AGN,AMGN,ANDV,APD,APOL,ATI,ATI,AVY,BAX,BBBY,BBY,BF/B,BF/B,BK
65,1801229D,2036Q,210967Q,236555Q,2972Q,3075558Q,329556Q,3414924Q,3517233Q,355488Q,5656565D,929530Q,AA,AIG,AMP,ANF,APH,ARG,AVB,AVB,AXP,BBBY,BBWI,BCR,BHF,BIIB,BKNG
66,1802Q,204923Q,2168Q,2428Q,297504Q,3080867Q,3346Q,3423152Q,355488Q,3605818Q,605555Q,9876544D,AAPL,AIV,AMT,ANTM,APOL,ATGE,AVP,AVP,AZO,BBWI,BBY,BDX,BIIB,BK,BKR
67,1824174D,2106Q,2196Q,244630Q,2999130Q,3133754Q,3393199Q,3517233Q,3605818Q,3621240Q,653707Q,9876566D,ABC,AIZ,AMZN,AON,ARG,ATI,AVY,AVY,BA,BBY,BCR,BEN,BK,BKNG,BLK
68,1825471D,210967Q,2200Q,2500Q,300583Q,3253Q,3403545Q,355488Q,3621240Q,3692470Q,723588Q,9990302D,ABKFQ,AKAM,AN,APC,ATGE,AVB,AXP,AXP,BAC,BCR,BDX,BF/B,BKNG,BKR,BLL
69,183291Q,2168Q,2206Q,253647Q,3022239Q,3277Q,3414924Q,3605818Q,3692470Q,4621824Q,764144Q,9995522D,ABT,ALL,ANDV,APD,ATI,AVP,AZO,AZO,BAX,BDX,BEN,BHF,BKR,BLK,BMY
70,1897359D,2196Q,2218Q,263179Q,3026360Q,3286728Q,3423152Q,3621240Q,4621824Q,502466Q,8206908Q,A,ADBE,AMAT,ANF,APH,AVB,AVY,BA,BA,BBBY,BEN,BF/B,BIIB,BLK,BLL,BR
71,1958Q,2200Q,2223Q,2638Q,3029830Q,329556Q,3517233Q,3692470Q,502466Q,519239Q,8277831Q,AA,ADI,AMD,ANTM,APOL,AVP,AXP,BAC,BAC,BBWI,BF/B,BHI,BK,BLL,BMY,BRK/B
